instance_pre,instance_post,conn_num,tot_syn_cnt,mean_syn_cnt,syn_cnt_sd
EPG(PB08)_L6,PEG(PB07)_L8,3,18,6.0,3.0
EPG(PB08)_L6,PEG(PB07)_R9,0,0,0.0,0.0
EPG(PB08)_L6,PEG(PB07)_L1,0,0,0.0,0.0
EPG(PB08)_L6,PEG(PB07)_L2,3,14,4.666666666666667,1.1547005383792515
EPG(PB08)_L6,PEG(PB07)_L9,0,0,0.0,0.0
EPG(PB08)_L6,PEG(PB07)_R5,0,0,0.0,0.0
EPG(PB08)_L6,PEG(PB07)_R8,0,0,0.0,0.0
EPG(PB08)_L6,PEN_a(PB06a)_L7,3,53,17.666666666666668,8.144527815247077
EPG(PB08)_L6,PEN_a(PB06a)_R4,6,33,5.5,1.8708286933869707
EPG(PB08)_L6,PEN_a(PB06a)_R3,0,0,0.0,0.0
EPG(PB08)_L6,PEN_a(PB06a)_L2,0,0,0.0,0.0
EPG(PB08)_L6,PEN_a(PB06a)_R6,4,5,1.25,0.5
EPG(PB08)_L6,PEN_a(PB06a)_L6,8,75,9.375,5.31675249968034
EPG(PB08)_L6,PEN_a(PB06a)_L4,0,0,0.0,0.0
EPG(PB08)_L6,PEN_a(PB06a)_R5,3,57,19.0,2.6457513110645907
EPG(PB08)_L6,PEN_a(PB06a)_R2,0,0,0.0,0.0
EPG(PB08)_L6,PEN_a(PB06a)_R7,0,0,0.0,0.0
EPG(PB08)_L6,PEN_a(PB06a)_R8,0,0,0.0,0.0
EPG(PB08)_L6,PEN_a(PB06a)_L8,3,23,7.666666666666667,4.509249752822894
EPG(PB08)_L6,PEN_a(PB06a)_R9,0,0,0.0,0.0
EPG(PB08)_L6,PEN_a(PB06a)_L9,2,4,2.0,0.0
EPG(PB08)_L6,PEN_a(PB06a)_L3,0,0,0.0,0.0
EPG(PB08)_L6,PEN_a(PB06a)_L5,0,0,0.0,0.0
EPG(PB08)_L6,PEN_b(PB06b)_L4,0,0,0.0,0.0
EPG(PB08)_L6,PEN_b(PB06b)_R4,4,30,7.5,7.32575365861197
EPG(PB08)_L6,PEN_b(PB06b)_L6,6,87,14.5,2.7386127875258306
EPG(PB08)_L6,PEN_b(PB06b)_R7,0,0,0.0,0.0
EPG(PB08)_L6,PEN_b(PB06b)_R2,0,0,0.0,0.0
EPG(PB08)_L6,PEN_b(PB06b)_R5,3,116,38.666666666666664,12.741009902410928
EPG(PB08)_L6,PEN_b(PB06b)_R6,0,0,0.0,0.0
EPG(PB08)_L6,PEN_b(PB06b)_R3,0,0,0.0,0.0
EPG(PB08)_L6,PEN_b(PB06b)_R8,0,0,0.0,0.0
EPG(PB08)_L6,PEN_b(PB06b)_R9,0,0,0.0,0.0
EPG(PB08)_L6,PEN_b(PB06b)_L9,0,0,0.0,0.0
EPG(PB08)_L6,PEN_b(PB06b)_L7,3,103,34.333333333333336,8.020806277010642
EPG(PB08)_L6,PEN_b(PB06b)_L8,2,9,4.5,3.5355339059327378
EPG(PB08)_L6,PEN_b(PB06b)_L5,0,0,0.0,0.0
EPG(PB08)_L6,PEN_b(PB06b)_L2,0,0,0.0,0.0
EPG(PB08)_L6,PEN_b(PB06b)_L3,0,0,0.0,0.0
EPG(PB08)_L1,EPG(PB08)_L3,4,5,1.25,0.5
EPG(PB08)_L1,EPG(PB08)_R4,0,0,0.0,0.0
EPG(PB08)_L1,EPG(PB08)_R3,0,0,0.0,0.0
EPG(PB08)_L1,EPG(PB08)_L6,0,0,0.0,0.0
EPG(PB08)_L1,EPG(PB08)_R2,1,1,1.0,0.0
EPG(PB08)_L1,EPG(PB08)_L4,2,2,1.0,0.0
EPG(PB08)_L1,EPG(PB08)_R5,0,0,0.0,0.0
EPG(PB08)_L1,EPG(PB08)_L5,2,4,2.0,0.0
EPG(PB08)_L1,EPG(PB08)_L2,5,29,5.8,4.324349662087931
EPG(PB08)_L1,EPG(PB08)_R6,0,0,0.0,0.0
EPG(PB08)_L1,EPG(PB08)_R7,2,5,2.5,0.7071067811865476
EPG(PB08)_L1,EPG(PB08)_L7,4,5,1.25,0.5
EPG(PB08)_L1,EPG(PB08)_L8,5,24,4.8,2.9495762407505253
EPG(PB08)_L1,EPG(PB08)_R8,8,128,16.0,12.694205652298892
EPG(PB08)_L1,EPG(PB08)_R1,7,129,18.428571428571427,19.940387348771527
EPG(PB08)_L1,Delta7(PB15)_L6R3_L,10,199,19.9,7.752418977325722
EPG(PB08)_L1,Delta7(PB15)_L5R4_L,10,290,29.0,8.806563209081938
EPG(PB08)_L1,Delta7(PB15)_L4R5_R,10,199,19.9,4.817791102892602
EPG(PB08)_L1,Delta7(PB15)_L1L9R8_R,8,30,3.75,2.052872551885702
EPG(PB08)_L1,Delta7(PB15)_L8R1R9_L,4,5,1.25,0.5
EPG(PB08)_L1,Delta7(PB15)_L3R6_R,8,71,8.875,6.311836952447814
EPG(PB08)_L1,Delta7(PB15)_L7R2_L,6,51,8.5,5.822370651203855
EPG(PB08)_L1,Delta7(PB15)_L2R7_R,4,8,2.0,1.4142135623730951
EPG(PB08)_L1,PEG(PB07)_R1,4,55,13.75,8.958236433584458
EPG(PB08)_L1,PEG(PB07)_L5,2,3,1.5,0.7071067811865476
EPG(PB08)_L1,PEG(PB07)_L6,2,3,1.5,0.7071067811865476
EPG(PB08)_L1,PEG(PB07)_R6,0,0,0.0,0.0
EPG(PB08)_L1,PEG(PB07)_R4,0,0,0.0,0.0
EPG(PB08)_L1,PEG(PB07)_L4,1,1,1.0,0.0
EPG(PB08)_L1,PEG(PB07)_R2,0,0,0.0,0.0
EPG(PB08)_L1,PEG(PB07)_R3,0,0,0.0,0.0
EPG(PB08)_L1,PEG(PB07)_L3,2,11,5.5,3.5355339059327378
EPG(PB08)_L1,PEG(PB07)_R7,0,0,0.0,0.0
EPG(PB08)_L1,PEG(PB07)_L7,2,11,5.5,3.5355339059327378
EPG(PB08)_L1,PEG(PB07)_L8,1,1,1.0,0.0
EPG(PB08)_L1,PEG(PB07)_R9,2,40,20.0,4.242640687119285
EPG(PB08)_L1,PEG(PB07)_L1,6,210,35.0,36.943199644860215
EPG(PB08)_L1,PEG(PB07)_L2,5,24,4.8,4.8166378315169185
EPG(PB08)_L1,PEG(PB07)_L9,4,23,5.75,1.2583057392117916
EPG(PB08)_L1,PEG(PB07)_R5,0,0,0.0,0.0
EPG(PB08)_L1,PEG(PB07)_R8,1,1,1.0,0.0
EPG(PB08)_L1,PEN_a(PB06a)_L7,0,0,0.0,0.0
EPG(PB08)_L1,PEN_a(PB06a)_R4,0,0,0.0,0.0
EPG(PB08)_L1,PEN_a(PB06a)_R3,1,1,1.0,0.0
